-10.60286625	-199.77
-10.1610801563	-198.57
-9.7192940625	-194.31
-9.2775079688	-199.05
-8.835721875	-196.43
-8.3939357813	-186.99
-7.9521496875	-192.09
-7.5103635938	-187.40
-7.0685775	-187.00
-6.6267914063	-184.64
-6.1850053125	-181.72
-5.7432192188	-179.66
-5.301433125	-182.79
-4.8596470313	-180.00
-4.4178609375	-184.64
-3.9760748438	-184.35
-3.53428875	-182.77
-3.0925026563	-180.19
-2.6507165625	-180.40
-2.2089304688	-180.52
-1.767144375	-179.73
-1.3253582813	-170.62
-0.8835721875	-150.58
-0.4417860938	-120.79
0		0
0.4417860938	120.56
0.8835721875	150.72
1.3253582813	170.69
1.767144375	179.20
2.2089304688	178.74
2.6507165625	173.41
3.0925026563	170.66
3.53428875	165.30
3.9760748438	166.55
4.4178609375	166.08
4.8596470313	165.54
5.301433125	169.04
5.7432192188	175.14
6.1850053125	179.78
6.6267914063	182.15
7.0685775	184.25
7.5103635938	185.94
7.9521496875	195.59
8.3939357813	200.00
8.835721875	200.44
9.2775079688	200.45
9.7192940625	200.03
10.1610801563	206.74
10.60286625	214.67




